"","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","OBSERVATION_TYPE","VALUE"
"561","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","AMICAL55","TAXON_COUNT",5.46053046053046
"562","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","ANCMIT57","TAXON_COUNT",0
"563","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","ANGROS54","TAXON_COUNT",2.75798525798526
"564","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","ARCPRO92","TAXON_COUNT",0
"565","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","ARIFEL69","TAXON_COUNT",0
"566","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","BAGMAR76","TAXON_COUNT",0
"567","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","BELBEL86","TAXON_COUNT",0
"568","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","CALSAP109","TAXON_COUNT",0
"569","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","CARHIP105","TAXON_COUNT",0
"570","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","CARLEU91","TAXON_COUNT",0
"571","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","CENUND50","TAXON_COUNT",34.0252315252315
"572","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","CICSPP110","TAXON_COUNT",0
"573","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","CICURO84","TAXON_COUNT",3.24308574308574
"574","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","CLABAT60","TAXON_COUNT",0
"575","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","CYNNEB104","TAXON_COUNT",0
"576","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","ELOPSAU117","TAXON_COUNT",0
"577","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","ENNGLO47","TAXON_COUNT",0
"578","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","ERISUC33","TAXON_COUNT",0
"579","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","ESOAME18","TAXON_COUNT",0
"580","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","ESONIG14","TAXON_COUNT",0
"581","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","EUCHAR103","TAXON_COUNT",0
"582","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","EUCSPP115","TAXON_COUNT",0
"583","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","EUGPLU101","TAXON_COUNT",4.32416682416682
"584","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","EURGUL35","TAXON_COUNT",0
"585","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","FUNCHR8","TAXON_COUNT",0
"586","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","FUNCON4","TAXON_COUNT",0
"587","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","FUNGRA75","TAXON_COUNT",0
"588","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","FUNSEM34","TAXON_COUNT",0
"589","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","GOBROB106","TAXON_COUNT",0
"590","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","GOBSPP121","TAXON_COUNT",0
"591","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","HEMLET88","TAXON_COUNT",0
"592","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","KLEMAR102","TAXON_COUNT",0
"593","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","LAGHOM81","TAXON_COUNT",0
"594","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","LEPGUL38","TAXON_COUNT",0
"595","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","LEPMAC39","TAXON_COUNT",0
"596","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","LEPMAR42","TAXON_COUNT",1.13636363636364
"597","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","LEPMIC40","TAXON_COUNT",5.03071253071253
"598","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","LEPPLA17","TAXON_COUNT",59.96723996724
"599","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","LEPPUN41","TAXON_COUNT",0
"600","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","LEPSPP19","TAXON_COUNT",0
"601","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","LOPCYP71","TAXON_COUNT",0
"602","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","LUTGRI74","TAXON_COUNT",0
"603","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","MACSIA100","TAXON_COUNT",0
"604","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","MCSAL20","TAXON_COUNT",7.65025515025515
"605","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","MEGATL51","TAXON_COUNT",0
"606","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","MICGUL67","TAXON_COUNT",0
"607","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","MUGCEP107","TAXON_COUNT",4.54545454545455
"608","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","NOTCRY9","TAXON_COUNT",0
"609","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","NOTGYR37","TAXON_COUNT",0
"610","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","OREAUR78","TAXON_COUNT",2.73026523026523
"611","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","PTEMUL99","TAXON_COUNT",0
"612","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","SCIOCE94","TAXON_COUNT",0
"613","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","STRSPP80","TAXON_COUNT",0
"614","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","TILMAR77","TAXON_COUNT",0
"615","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","TRIMAC36","TAXON_COUNT",3.2983682983683
"616","10_RB","2006","CPUE = (COUNT / DISTANCE (M))*100","UNIDEEL200","TAXON_COUNT",0
"617","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","AMICAL55","TAXON_COUNT",2.5694124865777
"618","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","ANCMIT57","TAXON_COUNT",0
"619","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","ANGROS54","TAXON_COUNT",0
"620","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","ARCPRO92","TAXON_COUNT",0
"621","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","ARIFEL69","TAXON_COUNT",0
"622","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","BAGMAR76","TAXON_COUNT",0
"623","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","BELBEL86","TAXON_COUNT",0
"624","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","CALSAP109","TAXON_COUNT",0
"625","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","CARHIP105","TAXON_COUNT",1.06382978723404
"626","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","CARLEU91","TAXON_COUNT",0
"627","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","CENUND50","TAXON_COUNT",30.3613333202782
"628","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","CICSPP110","TAXON_COUNT",0
"629","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","CICURO84","TAXON_COUNT",0
"630","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","CLABAT60","TAXON_COUNT",0
"631","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","CYNNEB104","TAXON_COUNT",0
"632","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","ELOPSAU117","TAXON_COUNT",0
"633","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","ENNGLO47","TAXON_COUNT",0
"634","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","ERISUC33","TAXON_COUNT",0
"635","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","ESOAME18","TAXON_COUNT",0
"636","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","ESONIG14","TAXON_COUNT",0
"637","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","EUCHAR103","TAXON_COUNT",2.00722601364914
"638","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","EUCSPP115","TAXON_COUNT",0
"639","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","EUGPLU101","TAXON_COUNT",7.52726074029106
"640","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","EURGUL35","TAXON_COUNT",0
"641","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","FUNCHR8","TAXON_COUNT",0
"642","10_RB","2007","CPUE = (COUNT / DISTANCE (M))*100","FUNCON4","TAXON_COUNT",0
