"DATE","SITE_ID","OBSERVATION_TYPE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
2000,"1_1","TAXON_COUNT","DENSITY","Assiminea",0
2000,"1_2","TAXON_COUNT","DENSITY","Assiminea",0
2000,"2_1","TAXON_COUNT","DENSITY","Assiminea",0
2000,"2_2","TAXON_COUNT","DENSITY","Assiminea",0
2000,"3_1","TAXON_COUNT","DENSITY","Assiminea",0
2000,"3_2","TAXON_COUNT","DENSITY","Assiminea",0
2000,"4_1","TAXON_COUNT","DENSITY","Assiminea",0
2000,"4_2","TAXON_COUNT","DENSITY","Assiminea",0
2000,"5_1","TAXON_COUNT","DENSITY","Assiminea",0
2000,"5_2","TAXON_COUNT","DENSITY","Assiminea",0
2000,"6_1","TAXON_COUNT","DENSITY","Assiminea",0
2000,"6_2","TAXON_COUNT","DENSITY","Assiminea",0
2000,"7_1","TAXON_COUNT","DENSITY","Assiminea",0
2000,"7_2","TAXON_COUNT","DENSITY","Assiminea",0
2000,"8_1","TAXON_COUNT","DENSITY","Assiminea",0
2000,"8_2","TAXON_COUNT","DENSITY","Assiminea",0
2000,"9_1","TAXON_COUNT","DENSITY","Assiminea",0
2000,"9_2","TAXON_COUNT","DENSITY","Assiminea",0
2001,"1_1","TAXON_COUNT","DENSITY","Assiminea",0
2001,"1_2","TAXON_COUNT","DENSITY","Assiminea",0
2001,"2_1","TAXON_COUNT","DENSITY","Assiminea",0
2001,"2_2","TAXON_COUNT","DENSITY","Assiminea",0
2001,"3_1","TAXON_COUNT","DENSITY","Assiminea",0
2001,"3_2","TAXON_COUNT","DENSITY","Assiminea",0
2001,"4_1","TAXON_COUNT","DENSITY","Assiminea",0
2001,"4_2","TAXON_COUNT","DENSITY","Assiminea",0
2001,"5_1","TAXON_COUNT","DENSITY","Assiminea",0
2001,"5_2","TAXON_COUNT","DENSITY","Assiminea",0
2001,"6_1","TAXON_COUNT","DENSITY","Assiminea",0
2001,"6_2","TAXON_COUNT","DENSITY","Assiminea",0
2001,"7_1","TAXON_COUNT","DENSITY","Assiminea",0
2001,"7_2","TAXON_COUNT","DENSITY","Assiminea",0
2001,"8_1","TAXON_COUNT","DENSITY","Assiminea",0
2001,"8_2","TAXON_COUNT","DENSITY","Assiminea",0
2001,"9_1","TAXON_COUNT","DENSITY","Assiminea",0
2001,"9_2","TAXON_COUNT","DENSITY","Assiminea",0
2002,"1_1","TAXON_COUNT","DENSITY","Assiminea",0
2002,"1_2","TAXON_COUNT","DENSITY","Assiminea",0
2002,"2_1","TAXON_COUNT","DENSITY","Assiminea",0
2002,"2_2","TAXON_COUNT","DENSITY","Assiminea",0
2002,"3_1","TAXON_COUNT","DENSITY","Assiminea",0
2002,"3_2","TAXON_COUNT","DENSITY","Assiminea",0
2002,"4_1","TAXON_COUNT","DENSITY","Assiminea",0
2002,"4_2","TAXON_COUNT","DENSITY","Assiminea",0
2002,"5_1","TAXON_COUNT","DENSITY","Assiminea",1
2002,"5_2","TAXON_COUNT","DENSITY","Assiminea",0
2002,"6_1","TAXON_COUNT","DENSITY","Assiminea",2
2002,"6_2","TAXON_COUNT","DENSITY","Assiminea",0
2002,"7_1","TAXON_COUNT","DENSITY","Assiminea",0
2002,"7_2","TAXON_COUNT","DENSITY","Assiminea",0
2002,"8_1","TAXON_COUNT","DENSITY","Assiminea",0
2002,"8_2","TAXON_COUNT","DENSITY","Assiminea",0
2002,"9_1","TAXON_COUNT","DENSITY","Assiminea",0
2002,"9_2","TAXON_COUNT","DENSITY","Assiminea",0
2003,"1_1","TAXON_COUNT","DENSITY","Assiminea",0
2003,"1_2","TAXON_COUNT","DENSITY","Assiminea",0
2003,"2_1","TAXON_COUNT","DENSITY","Assiminea",0
2003,"2_2","TAXON_COUNT","DENSITY","Assiminea",0
2003,"3_1","TAXON_COUNT","DENSITY","Assiminea",0
2003,"3_2","TAXON_COUNT","DENSITY","Assiminea",0
2003,"4_1","TAXON_COUNT","DENSITY","Assiminea",0
2003,"4_2","TAXON_COUNT","DENSITY","Assiminea",0
2003,"5_1","TAXON_COUNT","DENSITY","Assiminea",0
2003,"5_2","TAXON_COUNT","DENSITY","Assiminea",0
2003,"6_1","TAXON_COUNT","DENSITY","Assiminea",0
2003,"6_2","TAXON_COUNT","DENSITY","Assiminea",0
2003,"7_1","TAXON_COUNT","DENSITY","Assiminea",0
2003,"7_2","TAXON_COUNT","DENSITY","Assiminea",0
2003,"8_1","TAXON_COUNT","DENSITY","Assiminea",0
2003,"8_2","TAXON_COUNT","DENSITY","Assiminea",0
2003,"9_1","TAXON_COUNT","DENSITY","Assiminea",0
2003,"9_2","TAXON_COUNT","DENSITY","Assiminea",0
2004,"1_1","TAXON_COUNT","DENSITY","Assiminea",0
2004,"1_2","TAXON_COUNT","DENSITY","Assiminea",0
2004,"2_1","TAXON_COUNT","DENSITY","Assiminea",0
2004,"2_2","TAXON_COUNT","DENSITY","Assiminea",0
2004,"3_1","TAXON_COUNT","DENSITY","Assiminea",0
2004,"3_2","TAXON_COUNT","DENSITY","Assiminea",0
2004,"4_1","TAXON_COUNT","DENSITY","Assiminea",0
2004,"4_2","TAXON_COUNT","DENSITY","Assiminea",0
2004,"5_1","TAXON_COUNT","DENSITY","Assiminea",1
2004,"5_2","TAXON_COUNT","DENSITY","Assiminea",0
2004,"6_1","TAXON_COUNT","DENSITY","Assiminea",0
2004,"6_2","TAXON_COUNT","DENSITY","Assiminea",0
2004,"7_1","TAXON_COUNT","DENSITY","Assiminea",0
2004,"7_2","TAXON_COUNT","DENSITY","Assiminea",0
2004,"8_1","TAXON_COUNT","DENSITY","Assiminea",0
2004,"8_2","TAXON_COUNT","DENSITY","Assiminea",0
2004,"9_1","TAXON_COUNT","DENSITY","Assiminea",0
2004,"9_2","TAXON_COUNT","DENSITY","Assiminea",0
2005,"1_1","TAXON_COUNT","DENSITY","Assiminea",0
2005,"1_2","TAXON_COUNT","DENSITY","Assiminea",0
2005,"2_1","TAXON_COUNT","DENSITY","Assiminea",0
2005,"2_2","TAXON_COUNT","DENSITY","Assiminea",0
2005,"3_1","TAXON_COUNT","DENSITY","Assiminea",0
2005,"3_2","TAXON_COUNT","DENSITY","Assiminea",0
2005,"4_1","TAXON_COUNT","DENSITY","Assiminea",0
2005,"4_2","TAXON_COUNT","DENSITY","Assiminea",0
2005,"5_1","TAXON_COUNT","DENSITY","Assiminea",0
2005,"5_2","TAXON_COUNT","DENSITY","Assiminea",0
2005,"6_1","TAXON_COUNT","DENSITY","Assiminea",0
2005,"6_2","TAXON_COUNT","DENSITY","Assiminea",0
2005,"7_1","TAXON_COUNT","DENSITY","Assiminea",0
2005,"7_2","TAXON_COUNT","DENSITY","Assiminea",0
2005,"8_1","TAXON_COUNT","DENSITY","Assiminea",0
2005,"8_2","TAXON_COUNT","DENSITY","Assiminea",0
2005,"9_1","TAXON_COUNT","DENSITY","Assiminea",0
2005,"9_2","TAXON_COUNT","DENSITY","Assiminea",0
2006,"1_1","TAXON_COUNT","DENSITY","Assiminea",0
2006,"1_2","TAXON_COUNT","DENSITY","Assiminea",0
2006,"2_1","TAXON_COUNT","DENSITY","Assiminea",0
2006,"2_2","TAXON_COUNT","DENSITY","Assiminea",0
2006,"3_1","TAXON_COUNT","DENSITY","Assiminea",0
2006,"3_2","TAXON_COUNT","DENSITY","Assiminea",0
2006,"4_1","TAXON_COUNT","DENSITY","Assiminea",0
2006,"4_2","TAXON_COUNT","DENSITY","Assiminea",0
2006,"5_1","TAXON_COUNT","DENSITY","Assiminea",0
2006,"5_2","TAXON_COUNT","DENSITY","Assiminea",0
2006,"6_1","TAXON_COUNT","DENSITY","Assiminea",0
2006,"6_2","TAXON_COUNT","DENSITY","Assiminea",0
2006,"7_1","TAXON_COUNT","DENSITY","Assiminea",0
2006,"7_2","TAXON_COUNT","DENSITY","Assiminea",0
2006,"8_1","TAXON_COUNT","DENSITY","Assiminea",0
2006,"8_2","TAXON_COUNT","DENSITY","Assiminea",0
2006,"9_1","TAXON_COUNT","DENSITY","Assiminea",0
2006,"9_2","TAXON_COUNT","DENSITY","Assiminea",0
2007,"1_1","TAXON_COUNT","DENSITY","Assiminea",0
2007,"1_2","TAXON_COUNT","DENSITY","Assiminea",0
2007,"2_1","TAXON_COUNT","DENSITY","Assiminea",0
2007,"2_2","TAXON_COUNT","DENSITY","Assiminea",0
2007,"3_1","TAXON_COUNT","DENSITY","Assiminea",0
2007,"3_2","TAXON_COUNT","DENSITY","Assiminea",0
2007,"4_1","TAXON_COUNT","DENSITY","Assiminea",0
2007,"4_2","TAXON_COUNT","DENSITY","Assiminea",0
2007,"5_1","TAXON_COUNT","DENSITY","Assiminea",0
2007,"5_2","TAXON_COUNT","DENSITY","Assiminea",0
2007,"6_1","TAXON_COUNT","DENSITY","Assiminea",0
2007,"6_2","TAXON_COUNT","DENSITY","Assiminea",0
2007,"7_1","TAXON_COUNT","DENSITY","Assiminea",0
2007,"7_2","TAXON_COUNT","DENSITY","Assiminea",0
2007,"8_1","TAXON_COUNT","DENSITY","Assiminea",0
2007,"8_2","TAXON_COUNT","DENSITY","Assiminea",0
2007,"9_1","TAXON_COUNT","DENSITY","Assiminea",0
