dataset_file_name,dataset_google_id,start_year,end_year,n_years_observed,study_duration,scale,organism_count_type,SITE_ID,variability_type,metric_type,metric,metric_value
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,AA-17,comp,BD_h,BD,0.2340918981175073
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,AA-20,comp,BD_h,BD,0.24819264950881387
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,AB-19,comp,BD_h,BD,0.18785226346463782
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,AC-16,comp,BD_h,BD,0.2840734574384712
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,AD-10,comp,BD_h,BD,0.4825808070860411
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,AD-21,comp,BD_h,BD,0.4136003648234799
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,AE-23,comp,BD_h,BD,0.44807954131850186
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,AF-12,comp,BD_h,BD,0.6270915899952205
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,F-8,comp,BD_h,BD,0.6500958156616027
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,G-15,comp,BD_h,BD,0.6843126203443011
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,I-11,comp,BD_h,BD,0.6553357015869438
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,I-17,comp,BD_h,BD,0.5663622347004106
L3-cap-birds-banville.csv,18fvkVN_x2DYCY7ssCSOGANgYjVCFUHZw,2001,2016,16,15,local,count,M-16,comp,BD_h,BD,0.27609244168311303
