Sample ID	Visit ID	Site ID	WRIA Number	WRIA	Basin	Subbasin	Stream or River	Agency	Project	Site Code	Visit Date	Date Released	Latitude	Longitude	Lab Name	Sample Code	QC Replicate Of Sample Code	Collection Count	Positions In Stream	Surface Area	Surface Area Units	Taxa Effort	Deficiency Notes	QA/QC Result	Sampling Grid Squares Counted	Total Sampling Grid Squares	Taxon Serial Number	Taxon	Quantity	Quantity Subsampling	Life Stage	Unique	Damaged	Immature	Outside Protocol	Wrong Gender	Non-B-IBI	Predator	Long Lived	Tolerant	Intolerant	Clinger	Fine Sediment Sensitivity Index	Hilsenhoff Biotic Tolerance Index	Metals Tolerance Index
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	68440	Lumbriculidae	4	4	not specified	True	False	False	False	False	False	False	False	False	False	False		8	
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	83282	Atractides	5	5	adult	True	False	False	False	False	False	False	False	False	False	False		8	
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	83034	Lebertia	5	5	adult	True	False	False	False	False	False	False	False	False	False	False		8	
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	83170	Protzia	3	3	adult	True	False	False	False	False	False	False	False	False	False	False			
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	83006	Sperchon	13	13	adult	True	False	False	False	False	False	False	False	False	False	False		8	
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	83029	Sperchonopsis	1	1	adult	True	False	False	False	False	False	False	False	False	False	False		8	
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	-180	Monatractides	8	8	adult	True	False	False	False	False	False	False	False	False	False	False			
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	83254	Torrenticola	14	14	adult	True	False	False	False	False	False	False	False	False	False	False			
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	114093	Elmidae	1	1	adult	False	True	False	False	False	False	False	True	False	False	True		4	
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	114093	Elmidae	5	5	larva	False	True	False	False	False	False	False	True	False	False	True		4	
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	114169	Heterlimnius corpulentus	20	20	larva	True	False	False	False	False	False	False	True	False	False	True	5	4	3
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	114177	Optioservus	1	1	adult	True	False	False	False	False	False	False	True	False	False	True		4	5
14739	9721	2385					Raging River	King County - DNRP	Ambient Monitoring	07RAG004615	9/6/2018	10/4/2018	47.547016	-121.902150	Rhithron Associates, Inc.	07RAG004615_18		8	Center of Riffle	8.00	ft2	Fine			7	30	114177	Optioservus	14	14	larva	False	False	False	False	False	False	False	True	False	False	True		4	5
