"name","id","beta_type","gamma_temporal_bd","mean_alpha_temporal_bd","phi_bd","n_locations","n_times","start_year","end_year","n_years","alpha_temporal_bd_rate","gamma_temporal_bd_rate"
"L3-cdr-grasshopper-compagnoni.csv","1UzmNyjqOCNrRpagCCLXsHMlSlyM1WJN_","total",0.246459336978319,0.519585429503637,0.474338430186087,19,18,1989,2006,17,0.0305638487943316,0.0144976080575482
"L3-jrn-lizards-hope.csv","0B7o8j0RLpcxiYW10X1djMTBGM0U","total",0.193298478083957,0.507891022133863,0.380590460669751,9,16,1990,2005,15,0.0338594014755909,0.0128865652055972
"L3-knz-grasshopper-compagnoni.csv","1FliDv4JFu732-2VLlfR4f3FIZPGcZrI5","total",0.177737419260057,0.385031018492551,0.461618442991746,13,17,1996,2013,17,0.0226488834407383,0.0104551423094151
"L3-vcr-92plantgroundcover-popler.csv","1fNXUqTuPUAxk9oDHqktSbBOsCqybpg15","total",0.0974054346254373,0.288936422081694,0.337117189739052,8,25,1990,2014,24,0.0120390175867372,0.00405855977605989
"L3-sgs-63plants-popler.csv","1D059P31HOahtqdXRC4WPrGbC7AjRQE38","total",0.56644208818135,0.725110776161318,0.781180071795446,21,9,1999,2007,8,0.0906388470201647,0.0708052610226688
"L3-sev-54arthropods-popler.csv","19oovwWbQOVi912TTSLLUEJpwxIql9h5r","total",1.14786224760603,1.44867601875098,0.792352625948552,108,13,1992,2004,12,0.120723001562582,0.0956551873005028
"L3-cdr-plants-compagnoni.csv","1cTowfWGruT58EuZQUZi1oXY4MESig1BG","total",0.341053776414964,0.564008645857048,0.604696007623625,23,23,1982,2004,22,0.0256367566298658,0.0155024443824984
"L3-sev-grasshopper-compagnoni.csv","1y49fa5qD0IJ8CD8FnR5UWXthmt8tZAVF","total",0.384845519599426,0.577180117388866,0.666768497398087,10,22,1992,2013,21,0.0274847674947079,0.0183259771237822
"L3-jrn-677plantdensity-popler.csv","1apyFBlFLCnJnDOAyfuafsdBSFXlYzlIz","total",1.20016555126378,1.4818578287785,0.80990600309686,114,67,1915,2001,86,0.0172309049857965,0.0139554133867882
"L3-sev-53pinonjuniper-popler.csv","1G9qyW9GOabn-WokI1OALyGgCvIeL9peQ","total",0.588031390670499,0.855397700546612,0.687436253680292,100,14,2003,2016,13,0.0657998231189702,0.0452331838977307
"L3-fce-fish-rehageWet.csv","19aoF1lPfeqh3kLFZkgTMqXp_DU025vJu","total",0.219252013895717,0.829576206893476,0.264293999844514,14,6,2011,2016,5,0.165915241378695,0.0438504027791434
"L3-fce-fish-rehageDry.csv","19_8JhIAxcaBw69OShxlkDfF3i0Ml97GJ","total",0.353937036155038,0.799163041424802,0.442884640315718,10,11,2006,2017,11,0.0726511855840729,0.0321760941959126
"L3-cap-herps-banville.csv","19Gu7nuSiUmIKUyP2qz0x9MBKMmOJxbFV","total",0.101360318665674,0.189947896572101,0.533621695711696,7,5,2013,2017,4,0.0474869741430253,0.0253400796664186
"L3-ntl-fish-stanleyLottig.csv","0B2P104M94skvOVBOZnIyUGQ1ZVU","total",0.242994161807901,0.394196217809805,0.616429460328162,9,23,1995,2017,22,0.0179180099004457,0.0110451891730864
"L3-hbr-birds-sillett.csv","1fxo8gpMf_q8wpkWRjg5ht3Z-NB8FThu_","total",0.173830521835564,1.18310872422373,0.146926920811626,64,8,2001,2013,12,0.098592393685311,0.0144858768196303
"L3-mcr-fish-castorani.csv","0BxUZSA1Gn1HZV3BuelZVN1NRUnc","total",0.51246917652258,0.791667380531826,0.647328902421512,6,10,2006,2015,9,0.087963042281314,0.05694101961362
"L3-mcr-inverts-castorani.csv","0BxUZSA1Gn1HZTnYzZVdwM3hyN2M","total",0.0969546891024082,0.187547916065366,0.516959564981873,6,11,2005,2015,10,0.0187547916065366,0.00969546891024082
"L3-mcr-algae-castorani.csv","0BxUZSA1Gn1HZenhxaVJ6bWtVdDg","total",0.128561681046326,0.167908608604765,0.765664620263413,6,10,2006,2015,9,0.0186565120671962,0.0142846312273695
"L3-mcr-coral-castorani.csv","0BxUZSA1Gn1HZZGR2VjdMbmU3Mm8","total",0.526812576869519,0.579173058518334,0.909594410722822,6,11,2005,2015,10,0.0579173058518334,0.0526812576869519
"L3-ntl-zooplankton-stanleyLottig.csv","0B2P104M94skvcUl6eGhhSDhtaDA","total",0.273623032587317,0.547876180482919,0.499424947341451,7,34,1982,2015,33,0.0166023084994824,0.00829160704810052
"L3-ntl-macroinvertebrate-stanleyLottig.csv","0B2P104M94skvTjJYYmZ4MnVLN28","total",0.122784868672464,0.233624769228794,0.525564429995085,7,33,1983,2015,32,0.00730077403839981,0.00383702714601451
"L3-fce-algae-marazzi.csv","11peI2IYRAIBG_PPmEWrvEv9sa7IJK9-L","total",0.124199604307678,0.587737571982797,0.211318129430925,174,7,2005,2011,6,0.0979562619971329,0.0206999340512797
"L3-fce-diatoms-marazzi.csv","1lcFanEFU73AvfRKGTfTMpbmCshW3WKj4","total",0.100466131445556,0.495271075157593,0.202850795220755,171,7,2005,2011,6,0.0825451791929322,0.016744355240926
"L3-nwt-plants-hallett.csv","0B2P104M94skvQzE2QUMtNHpCcXc","total",0.0413213620128443,0.181132776537577,0.228127469819202,88,11,1989,2014,25,0.00724531106150308,0.00165285448051377
"L3-sbc-sessileInverts-castorani.csv","0BxUZSA1Gn1HZYVp0MXBod2oxczQ","total",0.0879930931872403,0.327485592035531,0.268693021394643,11,16,2001,2016,15,0.0218323728023687,0.00586620621248269
"L3-sbc-mobileInverts-castorani.csv","0BxUZSA1Gn1HZWVZsdFdrRmhpTm8","total",0.138971888299359,0.562277184848343,0.247159038360843,11,16,2001,2016,15,0.0374851456565562,0.00926479255329058
"L3-sbc-fish-castorani.csv","0BxUZSA1Gn1HZeEtNSEtJRDQxa2M","total",0.475223812359803,1.09478956806483,0.434077768205095,11,16,2001,2016,15,0.0729859712043223,0.0316815874906535
"L3-sbc-algae-castorani.csv","0BxUZSA1Gn1HZZWl6d3BMeVNlT0U","total",0.131121987733522,0.37397783338434,0.350614330659451,11,16,2001,2016,15,0.024931855558956,0.00874146584890146
"L3-sbc-experiment-sessile-inverts-castorani.csv","0BxUZSA1Gn1HZclVoLVlONlgtcTg","total",0.404982229808556,0.486098661231113,0.833127638703799,4,9,2008,2016,8,0.0607623326538892,0.0506227787260695
"L3-sbc-experiment-mobile-inverts-castorani.csv","0BxUZSA1Gn1HZYXpqcFVRUUs0YVE","total",0.416370757777041,0.542744045116999,0.767158592568776,4,9,2008,2016,8,0.0678430056396248,0.0520463447221301
"L3-sbc-experiment-fish-castorani.csv","0BxUZSA1Gn1HZVXAyRk9QVV9fYkU","total",0.99214624031685,1.24028173220816,0.799936187522863,4,9,2008,2016,8,0.15503521652602,0.124018280039606
"L3-sbc-experiment-algae-castorani.csv","0BxUZSA1Gn1HZWDkwN1hwNmVUcEE","total",0.460803153243819,0.838452552839238,0.549587632220105,4,9,2008,2016,8,0.104806569104905,0.0576003941554774
"L3-usvi-coral-castorani.csv","0BxUZSA1Gn1HZZGowdUVCTTdtXzg","total",0.333392835172116,0.626674368421043,0.532003305021276,6,24,1992,2015,23,0.0272467116704801,0.0144953406596572
