"name","id","beta_type","gamma_temporal_bd","mean_alpha_temporal_bd","phi_bd","n_locations","n_times","start_year","end_year","n_years","alpha_temporal_bd_rate","gamma_temporal_bd_rate","alpha_mean","beta_mean","gamma_mean"
"L3-sgs-grasslands-catano.csv","1p1sSVGN-pcI3CjFy5sPP50owxtwcInY6","total",0.248528286991386,0.869226781979894,0.285918809847641,90,8,1999,2006,7,0.124175254568556,0.0355040409987694,4.07936507936508,6.0627615603021,24.5714285714286
"L3-jrn-plants-compagnoni.csv","1yuqNwBD6TVkdo9UzZeJtHxJjPzHrVVyx","total",0,0,NA,112,67,1915,2001,86,0,0,0,NA,0
"L3-bes-birds-nilon.csv","1ozkicOn1NPNcpe-s_-6WK8YtgqqmmTQV","total",0.0863643325830355,0.901680583407292,0.0957815152863556,126,5,2005,2009,4,0.225420145851823,0.0215910831457589,1.19246031746032,13.4783377307943,15.75
"L3-sgs-plants-catano.csv","1osf8W0yTs4gYjGBvbgnz92p2vZ5G08lm","total",0.256755906368622,0.878145970634334,0.292384085282716,180,9,1999,2007,8,0.109768246329292,0.0320944882960778,4.00089653518424,8.57356004393021,32.875
"L3-knz-grasshopper-compagnoni.csv","1FliDv4JFu732-2VLlfR4f3FIZPGcZrI5","total",0.291524154637063,0.488933588165149,0.596244892340254,13,19,1996,2015,19,0.0257333467455342,0.0153433765598454,9.61965811965812,2.1917334429473,20.4444444444444
"L3-cdr-grasshopper-compagnoni.csv","1UzmNyjqOCNrRpagCCLXsHMlSlyM1WJN_","total",0.246459336978319,0.519585429503637,0.474338430186087,19,18,1989,2006,17,0.0305638487943316,0.0144976080575482,11.0371517027864,2.87405325079961,30.8823529411765
"L3-jrn-lizards-hope.csv","0B7o8j0RLpcxiYW10X1djMTBGM0U","total",0.193298478083957,0.507891022133863,0.380590460669751,9,16,1990,2005,15,0.0338594014755909,0.0128865652055972,2.95555555555556,3.4451556019718,10.1333333333333
"L3-vcr-92plantgroundcover-popler.csv","1fNXUqTuPUAxk9oDHqktSbBOsCqybpg15","total",0.0974054346254373,0.288936422081694,0.337117189739052,8,25,1990,2014,24,0.0120390175867372,0.00405855977605989,4.734375,1.84891891990804,8.58333333333333
"L3-sgs-63plants-popler.csv","1D059P31HOahtqdXRC4WPrGbC7AjRQE38","total",0.56644208818135,0.725110776161318,0.781180071795446,21,9,1999,2007,8,0.0906388470201647,0.0708052610226688,13.6180555555556,2.87432922575274,39
"L3-sev-54arthropods-popler.csv","19oovwWbQOVi912TTSLLUEJpwxIql9h5r","total",1.14786224760603,1.44867601875098,0.792352625948552,108,13,1992,2004,12,0.120723001562582,0.0956551873005028,14.1988469601677,6.30289203085374,101
"L3-cdr-plants-compagnoni.csv","1cTowfWGruT58EuZQUZi1oXY4MESig1BG","total",0.341053776414964,0.564008645857048,0.604696007623625,23,23,1982,2004,22,0.0256367566298658,0.0155024443824984,9.9802371541502,5.89694928661802,57.8181818181818
"L3-sev-grasshopper-compagnoni.csv","1y49fa5qD0IJ8CD8FnR5UWXthmt8tZAVF","total",0.384845519599426,0.577180117388866,0.666768497398087,10,22,1992,2013,21,0.0274847674947079,0.0183259771237822,10.0952380952381,2.33046111081829,23.047619047619
"L3-jrn-677plantdensity-popler.csv","1apyFBlFLCnJnDOAyfuafsdBSFXlYzlIz","total",1.20016555126378,1.4818578287785,0.80990600309686,114,67,1915,2001,86,0.0172309049857965,0.0139554133867882,2.68931682498461,8.40595153614187,23.1666666666667
"L3-sev-53pinonjuniper-popler.csv","1G9qyW9GOabn-WokI1OALyGgCvIeL9peQ","total",0.588031390670499,0.855397700546612,0.687436253680292,100,14,2003,2016,13,0.0657998231189702,0.0452331838977307,7.69923076923077,10.5123456655399,76.3076923076923
"L3-fce-fish-rehageWet.csv","19aoF1lPfeqh3kLFZkgTMqXp_DU025vJu","total",0.219252013895717,0.829576206893476,0.264293999844514,14,6,2011,2016,5,0.165915241378695,0.0438504027791434,7.74285714285714,3.29220241929427,25.2
"L3-fce-fish-rehageDry.csv","19_8JhIAxcaBw69OShxlkDfF3i0Ml97GJ","total",0.353937036155038,0.799163041424802,0.442884640315718,10,11,2006,2017,11,0.0726511855840729,0.0321760941959126,9.35,2.56595150614592,23.7
"L3-cap-herps-banville.csv","19Gu7nuSiUmIKUyP2qz0x9MBKMmOJxbFV","total",0.101360318665674,0.189947896572101,0.533621695711696,7,5,2013,2017,4,0.0474869741430253,0.0253400796664186,3.5,2.48,8.75
"L3-ntl-fish-stanleyLottig.csv","0B2P104M94skvOVBOZnIyUGQ1ZVU","total",0.242994161807901,0.394196217809805,0.616429460328162,9,23,1995,2017,22,0.0179180099004457,0.0110451891730864,17.9343434343434,2.69466162454594,48.2727272727273
"L3-hbr-birds-sillett.csv","1fxo8gpMf_q8wpkWRjg5ht3Z-NB8FThu_","total",0.173830521835564,1.18310872422373,0.146926920811626,64,8,2001,2013,12,0.098592393685311,0.0144858768196303,5.19419642857143,7.68752965543516,37.2857142857143
"L3-mcr-fish-castorani.csv","0BxUZSA1Gn1HZV3BuelZVN1NRUnc","total",0.51246917652258,0.791667380531826,0.647328902421512,6,10,2006,2015,9,0.087963042281314,0.05694101961362,141.611111111111,1.56387058485339,221.222222222222
"L3-mcr-inverts-castorani.csv","0BxUZSA1Gn1HZTnYzZVdwM3hyN2M","total",0.0969546891024082,0.187547916065366,0.516959564981873,6,11,2005,2015,10,0.0187547916065366,0.00969546891024082,4.95,1.55972453030049,7.7
"L3-mcr-algae-castorani.csv","0BxUZSA1Gn1HZenhxaVJ6bWtVdDg","total",0.128561681046326,0.167908608604765,0.765664620263413,6,10,2006,2015,9,0.0186565120671962,0.0142846312273695,17.2962962962963,1.92325026725702,33.2222222222222
"L3-mcr-coral-castorani.csv","0BxUZSA1Gn1HZZGR2VjdMbmU3Mm8","total",0.526812576869519,0.579173058518334,0.909594410722822,6,11,2005,2015,10,0.0579173058518334,0.0526812576869519,15.9333333333333,1.33914084464465,21.3
"L3-ntl-zooplankton-stanleyLottig.csv","0B2P104M94skvcUl6eGhhSDhtaDA","total",0.273623032587317,0.547876180482919,0.499424947341451,7,34,1982,2015,33,0.0166023084994824,0.00829160704810052,35.8961038961039,1.98485025921743,70.9393939393939
"L3-ntl-macroinvertebrate-stanleyLottig.csv","0B2P104M94skvTjJYYmZ4MnVLN28","total",0.122784868672464,0.233624769228794,0.525564429995085,7,33,1983,2015,32,0.00730077403839981,0.00383702714601451,2.29761904761905,1.55675654835146,3.5625
"L3-fce-algae-marazzi.csv","11peI2IYRAIBG_PPmEWrvEv9sa7IJK9-L","total",0.124199604307678,0.587737571982797,0.211318129430925,174,7,2005,2011,6,0.0979562619971329,0.0206999340512797,20.9259837083153,7.43161868428228,154.666666666667
"L3-fce-diatoms-marazzi.csv","1lcFanEFU73AvfRKGTfTMpbmCshW3WKj4","total",0.100466131445556,0.495271075157593,0.202850795220755,171,7,2005,2011,6,0.0825451791929322,0.016744355240926,16.2061385142024,9.72728132544649,158.5
"L3-nwt-plants-hallett.csv","0B2P104M94skvQzE2QUMtNHpCcXc","total",0.0413213620128443,0.181132776537577,0.228127469819202,88,11,1989,2014,25,0.00724531106150308,0.00165285448051377,11.4988636363636,6.52973468723302,75
"L3-sbc-sessileInverts-castorani.csv","0BxUZSA1Gn1HZYVp0MXBod2oxczQ","total",0.0879930931872403,0.327485592035531,0.268693021394643,11,16,2001,2016,15,0.0218323728023687,0.00586620621248269,16.4249158249158,2.84730642047032,46.7333333333333
"L3-sbc-mobileInverts-castorani.csv","0BxUZSA1Gn1HZWVZsdFdrRmhpTm8","total",0.138971888299359,0.562277184848343,0.247159038360843,11,16,2001,2016,15,0.0374851456565562,0.00926479255329058,12.2006734006734,2.33328169325631,28.4
"L3-sbc-fish-castorani.csv","0BxUZSA1Gn1HZeEtNSEtJRDQxa2M","total",0.475223812359803,1.09478956806483,0.434077768205095,11,16,2001,2016,15,0.0729859712043223,0.0316815874906535,12.5171717171717,3.05533274324652,38.0666666666667
