dataset_file_name,dataset_google_id,start_year,end_year,n_years_observed,study_duration,organism_count_type,mean_alpha,SITE_ID,phi_var,comp_gamma_var_rate,comp_alpha_var_rate,agg_gamma_var_rate,agg_alpha_var_rate,messages
L3-gce-mollusc-compagnoni.csv,1Cy3RdJzAPIfW5euTGUIiHEaCJC8cCQTx,2000,2013,14,13,DENSITY,2,1_1,1,0.023296804551023217,0.023296804551023217,0.07001629958360725,0.07001629958360725,NA
L3-gce-mollusc-compagnoni.csv,1Cy3RdJzAPIfW5euTGUIiHEaCJC8cCQTx,2000,2013,14,13,DENSITY,2.4285714285714284,1_2,1,0.01705591693811549,0.01705591693811549,0.09523224911425882,0.09523224911425882,NA
L3-gce-mollusc-compagnoni.csv,1Cy3RdJzAPIfW5euTGUIiHEaCJC8cCQTx,2000,2013,14,13,DENSITY,1.4285714285714286,2_1,NaN,NaN,NaN,NA,NA,NA
L3-gce-mollusc-compagnoni.csv,1Cy3RdJzAPIfW5euTGUIiHEaCJC8cCQTx,2000,2013,14,13,DENSITY,1.7857142857142858,2_2,1,0.011463347948731132,0.011463347948731132,0.04302631317148537,0.04302631317148537,NA
L3-gce-mollusc-compagnoni.csv,1Cy3RdJzAPIfW5euTGUIiHEaCJC8cCQTx,2000,2013,14,13,DENSITY,1.6428571428571428,3_1,NaN,NaN,NaN,NA,NA,NA
L3-gce-mollusc-compagnoni.csv,1Cy3RdJzAPIfW5euTGUIiHEaCJC8cCQTx,2000,2013,14,13,DENSITY,2.7857142857142856,3_2,1,7.310489139841726e-4,7.310489139841726e-4,0.010695163465434372,0.010695163465434372,NA
L3-gce-mollusc-compagnoni.csv,1Cy3RdJzAPIfW5euTGUIiHEaCJC8cCQTx,2000,2013,14,13,DENSITY,1.8571428571428572,4_1,1,0.020166600546429207,0.020166600546429207,0.050301042487289754,0.050301042487289754,NA
L3-gce-mollusc-compagnoni.csv,1Cy3RdJzAPIfW5euTGUIiHEaCJC8cCQTx,2000,2013,14,13,DENSITY,3,4_2,1,0.003861470541065931,0.003861470541065931,0.017650431464002306,0.017650431464002306,NA
L3-gce-mollusc-compagnoni.csv,1Cy3RdJzAPIfW5euTGUIiHEaCJC8cCQTx,2000,2013,14,13,DENSITY,1.4285714285714286,5_1,NaN,NaN,NaN,NA,NA,NA
L3-gce-mollusc-compagnoni.csv,1Cy3RdJzAPIfW5euTGUIiHEaCJC8cCQTx,2000,2013,14,13,DENSITY,1.7142857142857142,5_2,1,0.003210554502424893,0.003210554502424893,0.03520664672234995,0.03520664672234995,NA
